Category,Tag,Link,,,,,,,,,,,,,,,,,,,,,,,,
country of refuge,Albania,,,,,,,,,,,,,,,,,,,,,,,,,
country of refuge,Austria,,,,,,,,,,,,,,,,,,,,,,,,,
country of refuge,Austria-Hungary,,,,,,,,,,,,,,,,,,,,,,,,,
country of refuge,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,
country of refuge,Croatia,,,,,,,,,,,,,,,,,,,,,,,,,
country of refuge,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,
country of refuge,Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,
country of refuge,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,
country of refuge,Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,
country of refuge,Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,
country of refuge,Poland,,,,,,,,,,,,,,,,,,,,,,,,,
country of refuge,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,
country of refuge,Slovakia,,,,,,,,,,,,,,,,,,,,,,,,,
country of refuge,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,
country of refuge,Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,
event,"""Anschluss"" of Austria (1938)",https://www.wikidata.org/wiki/Q154681,,,,,,,,,,,,,,,,,,,,,,,,
event,"""Revolutions of 1989""",https://www.wikidata.org/wiki/Q382861,,,,,,,,,,,,,,,,,,,,,,,,
event,Armenian genocide (1915),https://www.wikidata.org/wiki/Q2862203,,,,,,,,,,,,,,,,,,,,,,,,
event,Balkan Route (2015-),,,,,,,,,,,,,,,,,,,,,,,,,
event,First World War (1914-1918),https://www.wikidata.org/wiki/Q361,,,,,,,,,,,,,,,,,,,,,,,,
event,Great Eastern Crisis (1875–1878),,,,,,,,,,,,,,,,,,,,,,,,,
event,"Greek Civil War (1944, 1946-1949)",https://www.wikidata.org/wiki/Q188972,,,,,,,,,,,,,,,,,,,,,,,,
event,Holocaust,,,,,,,,,,,,,,,,,,,,,,,,,
event,Hungarian Revolution (1956),,,,,,,,,,,,,,,,,,,,,,,,,
event,Isonzo Battles/Soška fronta (1915-1917),,,,,,,,,,,,,,,,,,,,,,,,,
event,Kristallnacht (1938),,,,,,,,,,,,,,,,,,,,,,,,,
event,Munich Agreement (1938),https://www.wikidata.org/wiki/Q154255,,,,,,,,,,,,,,,,,,,,,,,,
event,Polenaktion (1938),,,,,,,,,,,,,,,,,,,,,,,,,
event,Regime change (1944-1945),,,,,,,,,,,,,,,,,,,,,,,,,
event,Second World War (1939-1945),https://www.wikidata.org/wiki/Q362,,,,,,,,,,,,,,,,,,,,,,,,
event,Spanish Civil War (1936-1939),,,,,,,,,,,,,,,,,,,,,,,,,
event,Trianon Treaty (1920),,,,,,,,,,,,,,,,,,,,,,,,,
event,Warsaw Pact invasion of Czechoslovakia (1968),,,,,,,,,,,,,,,,,,,,,,,,,
event,Yugoslav Wars (1991-2001),,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Activism,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Aid organisations,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Anthropology,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Anti-Fascism/Anti-Nazism,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Antisemitism,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Art,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Asylum,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Bibliographies,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Biographies,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Biopolitics,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Borders and borderlands,http://id.loc.gov/authorities/subjects/sh2006001296,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Citizenship,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Citizenship option,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Church,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Cold War,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Communism,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Correspondence,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Culture,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Decolonisation/Postcolonialism,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Demography,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Displacement,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Economic migration,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Education,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Embassies,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Environmental history,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Epidemics,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Ethnic cleansing,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Exhibition,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Expulsion,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Forced labour,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Gender,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Health care,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Historiography,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Holocaust survivors,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Humanitarianism,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Children homes,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Illegality,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Integration,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Intellectual life,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Internal migration,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,International law,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Labour migration,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Land reform,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Language,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Legal status/Refugee legislation,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Literature,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Loyalty,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Media and Press,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Memoirs,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Memory,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Migration history,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Migration and refugee policies,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Minorities,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,National identity,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,No man's land,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Passports,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Peasant Movement,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Photographs,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Political parties,,,,,,,,,,,,,,,,,,,,,,,,,
keyword ,Post-Imperial transition,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Public opinion,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Radicalism,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Refugee and internment camps,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Refugee regime,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Refugee spaces,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Refugee experience (Personal Narratives),,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Repatriation,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Rescue,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Resistance,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Schengen Area,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Science,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Social care,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Social Democracy,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Socialist solidarity,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Solidarity,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Surveillance,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Transit country,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Xenophobia,,,,,,,,,,,,,,,,,,,,,,,,,
keyword,Zionism,,,,,,,,,,,,,,,,,,,,,,,,,
location,Bačka,,,,,,,,,,,,,,,,,,,,,,,,,
location,Balkans,https://www.wikidata.org/wiki/Q23522,,,,,,,,,,,,,,,,,,,,,,,,
location,Beloiannisz,,,,,,,,,,,,,,,,,,,,,,,,,
location,Białystok,,,,,,,,,,,,,,,,,,,,,,,,,
location,Bicskén ,,,,,,,,,,,,,,,,,,,,,,,,,
location,Blansko,https://www.geonames.org/3079273/blansko.html,,,,,,,,,,,,,,,,,,,,,,,,
location,Boskovice,,,,,,,,,,,,,,,,,,,,,,,,,
location,Brno (Brünn),https://www.geonames.org/3078610/brno.html,,,,,,,,,,,,,,,,,,,,,,,,
location,Budapest,https://www.geonames.org/3054643/budapest.html,,,,,,,,,,,,,,,,,,,,,,,,
location,Bukovina,https://www.wikidata.org/wiki/Q105206,,,,,,,,,,,,,,,,,,,,,,,,
location,Burgenland,https://www.wikidata.org/wiki/Q43210,,,,,,,,,,,,,,,,,,,,,,,,
location,Dalmatia,,,,,,,,,,,,,,,,,,,,,,,,,
location,Europe,https://www.wikidata.org/wiki/Q46?wprov=srpw1_0,,,,,,,,,,,,,,,,,,,,,,,,
location,"Europe, Central",https://www.wikidata.org/wiki/Q27509,,,,,,,,,,,,,,,,,,,,,,,,
location,"Europe, East-Central",https://www.wikidata.org/wiki/Q16389571,,,,,,,,,,,,,,,,,,,,,,,,
location,"Europe, Eastern",https://www.wikidata.org/wiki/Q27468,,,,,,,,,,,,,,,,,,,,,,,,
location,"Europe, South-East",,,,,,,,,,,,,,,,,,,,,,,,,
location,"Europe, Western",https://www.wikidata.org/wiki/Q27496,,,,,,,,,,,,,,,,,,,,,,,,
location,Galicia,,,,,,,,,,,,,,,,,,,,,,,,,
location,Gmünd,https://www.geonames.org/2778441/gmuend.html,,,,,,,,,,,,,,,,,,,,,,,,
location,Graz,,,,,,,,,,,,,,,,,,,,,,,,,
location,Cheb,https://www.geonames.org/3077835/cheb.html,,,,,,,,,,,,,,,,,,,,,,,,
location,Istria,,,,,,,,,,,,,,,,,,,,,,,,,
location,Jindřichův Hradec,,,,,,,,,,,,,,,,,,,,,,,,,
location,Kladno,,,,,,,,,,,,,,,,,,,,,,,,,
location,Kladovo,,,,,,,,,,,,,,,,,,,,,,,,,
location,Klatovy,,,,,,,,,,,,,,,,,,,,,,,,,
location,Krakow,,,,,,,,,,,,,,,,,,,,,,,,,
location,Kralupy nad Vltavou,https://www.geonames.org/3072929/kralupy-nad-vltavou.html,,,,,,,,,,,,,,,,,,,,,,,,
location,Kyjov,,,,,,,,,,,,,,,,,,,,,,,,,
location,Ledro,,,,,,,,,,,,,,,,,,,,,,,,,-
location,Leipzig,,,,,,,,,,,,,,,,,,,,,,,,,
location,Libavá,,,,,,,,,,,,,,,,,,,,,,,,,
location,Łódź,,,,,,,,,,,,,,,,,,,,,,,,,
location,Louny,,,,,,,,,,,,,,,,,,,,,,,,,
location,Međimurje,,,,,,,,,,,,,,,,,,,,,,,,,
location,Metohije,,,,,,,,,,,,,,,,,,,,,,,,,
location,Mikulov,,,,,,,,,,,,,,,,,,,,,,,,,
location,Moravia,,,,,,,,,,,,,,,,,,,,,,,,,
location,"Moravská Ostrava (Moravian Ostrava, Mährisch Ostrau)",,,,,,,,,,,,,,,,,,,,,,,,,
location,Mšec,https://www.geonames.org/3070226/msec.html,,,,,,,,,,,,,,,,,,,,,,,,
location,Nagyatádon,,,,,,,,,,,,,,,,,,,,,,,,,
location,Havlíčkův Brod / Německý Brod (Deutschbrod),,,,,,,,,,,,,,,,,,,,,,,,,
location,Nové Košariská (Mischdorf),https://www.geonames.org/3058479/nove-kosariska.html,,,,,,,,,,,,,,,,,,,,,,,,
location,Ostrava,,,,,,,,,,,,,,,,,,,,,,,,,
location,Ostravice,,,,,,,,,,,,,,,,,,,,,,,,,
location,Planá,,,,,,,,,,,,,,,,,,,,,,,,,
location,Pohořelice,,,,,,,,,,,,,,,,,,,,,,,,,
location,Post-Yugoslav region ,,,,,,,,,,,,,,,,,,,,,,,,,
location,Prague (Praha),https://www.geonames.org/3067696/prague.html,,,,,,,,,,,,,,,,,,,,,,,,
location,Roudnice,,,,,,,,,,,,,,,,,,,,,,,,,
location,Sanjak of Niš,,,,,,,,,,,,,,,,,,,,,,,,,
location,Silesia,,,,,,,,,,,,,,,,,,,,,,,,,
location,Slaný,,,,,,,,,,,,,,,,,,,,,,,,,
location,Slavonia,,,,,,,,,,,,,,,,,,,,,,,,,
location,Styria,,,,,,,,,,,,,,,,,,,,,,,,,
location,Sudetenland,https://www.wikidata.org/wiki/Q194242,,,,,,,,,,,,,,,,,,,,,,,,
location,Svatobořice,,,,,,,,,,,,,,,,,,,,,,,,,
location,Štěnovice,,,,,,,,,,,,,,,,,,,,,,,,,
location,Těšín,,,,,,,,,,,,,,,,,,,,,,,,,
location,Traiskirchen,,,,,,,,,,,,,,,,,,,,,,,,,
location,Trieste,,,,,,,,,,,,,,,,,,,,,,,,,
location,Upper Adriatic ,,,,,,,,,,,,,,,,,,,,,,,,,
location ,Venezia Giulia ,,,,,,,,,,,,,,,,,,,,,,,,,
location,Vienna (Wien),https://www.geonames.org/2761369/vienna.html,,,,,,,,,,,,,,,,,,,,,,,,
location,Vojvodina ,,,,,,,,,,,,,,,,,,,,,,,,,
location,Vorarlberg,,,,,,,,,,,,,,,,,,,,,,,,,
location,Vsetín,,,,,,,,,,,,,,,,,,,,,,,,,
location,Waidhofen an der Thaya,,,,,,,,,,,,,,,,,,,,,,,,,
location,Wolin,,,,,,,,,,,,,,,,,,,,,,,,,
location,Wrocław,,,,,,,,,,,,,,,,,,,,,,,,,
location,Zbąszyń (Bentschen),,,,,,,,,,,,,,,,,,,,,,,,,
organization,American Jewish Joint Distribution Committee (JDC),https://www.wikidata.org/wiki/Q1702533,,,,,,,,,,,,,,,,,,,,,,,,
organization,Cominform,,,,,,,,,,,,,,,,,,,,,,,,,
organization,Communist International/Comintern/Third International,,,,,,,,,,,,,,,,,,,,,,,,,
organization,Communist Party of Greece (KKE),,,,,,,,,,,,,,,,,,,,,,,,,
organization,European Union (EU),,,,,,,,,,,,,,,,,,,,,,,,,
organization,International Committee of the Red Cross (ICRC),,,,,,,,,,,,,,,,,,,,,,,,,
organization,International Refugee Organization (IRO),https://www.wikidata.org/wiki/Q1405242,,,,,,,,,,,,,,,,,,,,,,,,
organization,League of Nations (LON),,,,,,,,,,,,,,,,,,,,,,,,,
organization,United Nations High Commissioner for Refugees (UNHCR),,,,,,,,,,,,,,,,,,,,,,,,,
organization,United Nations Relief and Rehabilitation Administration (UNRRA),,,,,,,,,,,,,,,,,,,,,,,,,
organization,Ústav pro péči o uprchlíky (Institute for Refugee Welfare),,,,,,,,,,,,,,,,,,,,,,,,,
organization,World Jewish Congress (WJC),,,,,,,,,,,,,,,,,,,,,,,,,
personality,"Aymonin, Marcel (1911-1984)",,,,,,,,,,,,,,,,,,,,,,,,,
personality,"Jaksch, Wenzel (1896-1996)",,,,,,,,,,,,,,,,,,,,,,,,,
personality,"Kokoschka, Oskar (1886-1980)",,,,,,,,,,,,,,,,,,,,,,,,,
personality,"Lessing, Theodor (1872-1933)",https://www.wikidata.org/wiki/Q61446,,,,,,,,,,,,,,,,,,,,,,,,
personality,"Miljukov, Pavel Nikolajevič (1859-1943)",,,,,,,,,,,,,,,,,,,,,,,,,
personality,"Prokopovič, Sergej Nikolajevič (1871-1955)",,,,,,,,,,,,,,,,,,,,,,,,,
personality,"Ringelblum, Emanuel (1900-1944)",,,,,,,,,,,,,,,,,,,,,,,,,
personality,"Sapieha, Adam Stefan (1867-1951)",,,,,,,,,,,,,,,,,,,,,,,,,
personality,"Sławik, Henryk (1894-1944)",,,,,,,,,,,,,,,,,,,,,,,,,
personality,"Winton, Nicholas (1909-2015)",,,,,,,,,,,,,,,,,,,,,,,,,
personality,"Zachariadis, Nikos  (1903-1973)",https://www.wikidata.org/wiki/Q462777,,,,,,,,,,,,,,,,,,,,,,,,
