Category,Tag,Link,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Albanian",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Armenian",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Austrian",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Belarussian",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Bosnian",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Bulgarian",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Chechen",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Croatian",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Czech",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, French",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, German",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Greek",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Hungarian",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Chilean",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Italian",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Jewish",https://id.loc.gov/authorities/subjects/sh85112308,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Korean",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Macedonian",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Montenegrin",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Muslim",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Polish",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Roma",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Romanian",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Russian",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Serbian",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Slav Macedonian",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Slovak",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Slovenian",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Spanish",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Ukrainian",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by ethnicity),"Refugees, Vietnamese",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by reason of refuge),"Refugees, of Armenian genocide (1915)",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by reason of refuge),"Refugees, of Nazism (1933-1945)",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by reason of refuge),"Refugees, of the ""Revolutions of 1989""",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by reason of refuge),"Refugees, of the First World War (1914-1918)",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by reason of refuge),"Refugees, of the July Putsch in Austria (1934)",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by reason of refuge),"Refugees, of the Greek Civil War (1944, 1946-1949)",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by reason of refuge),"Refugees, of the Hungarian revolution (1956)",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by reason of refuge),"Refugees, of the Chechen Wars (1994-1996; 1999-2009)",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by reason of refuge),"Refugees, of the Korean War (1950-1953)",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by reason of refuge),"Refugees, of the Munich Agreement (1938)",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by reason of refuge),"Refugees, of the Royal Dictatorship in Romania (1937-1938)",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by reason of refuge),"Refugees, of the Russian Civil War (1917-1923)",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by reason of refuge),"Refugees, of the Second World War (1939-1945)",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by reason of refuge),"Refugees, of the Spanish Civil War (1936-1939)",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by reason of refuge),"Refugees, of the Trianon Treaty (1920)",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by reason of refuge),"Refugees, of the Yugoslav Wars (1991-2001)",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from Austria",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from Austria-Hungary",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from Belarus",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from Bosnia",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from Bukovina",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from Czechoslovakia",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from Dalmatia",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from developing countries",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from East Germany (GDR)",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from Galicia",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from Germany",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from Global South",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from Greece",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from Hungary",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from Chile",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from Istria",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from Italy",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from Korea",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from Poland ",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from post-Soviet countries",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from Romania",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from Russia",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from Slovakia",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from Spain",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from the Soviet Union",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from Sudetenland",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from the Ottoman Empire",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from Transylvania",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from Ukraine",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from Vietnam",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (by region/country of origin),"Refugees, from Yugoslavia",,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (type),Child refugees,http://id.loc.gov/authorities/subjects/sh90005868,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (type),Internally displaced persons,http://id.loc.gov/authorities/subjects/sh2005008481,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (type),Political refugees,http://id.loc.gov/authorities/subjects/sh85112309,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (type),Prisoners of War (POWs),http://id.loc.gov/authorities/subjects/sh85106971,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (type),Religious refugees,,,,,,,,,,,,,,,,,,,,,,,,,
refugee group (type),Women refugees,http://id.loc.gov/authorities/subjects/sh85147697,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Austria-Hungary (1867-1918),https://www.wikidata.org/wiki/Q28513,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,"Austria, Allied-occupied (1945-1955)",,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,"Austria, Federal State (1934-1938)",,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,"Austria, First Republic (1919-1934)",,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,"Austria, Second Republic (1955-)",,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Austrian Empire (1804–1867),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Bohemian lands (-1918),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Congress Poland (1815−1867/1915),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Croatia (1991-),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Czech Republic (1993-),https://www.wikidata.org/wiki/Q213,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,"Czechoslovakia, 1st Republic (1918-1938)",https://www.wikidata.org/wiki/Q140359?wprov=srpw1_3,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,"Czechoslovakia, 2nd Republic (1938-1939)",https://www.wikidata.org/wiki/Q2010024,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,"Czechoslovakia, 3rd Republic (1945-1948)",https://www.wikidata.org/wiki/Q2454585,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,"Czechoslovakia, Socialist (1948-1989)",https://www.wikidata.org/wiki/Q853348,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Democratic People's Republic of Korea (DPRK, 1945-),,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Federal Republic of Germany/West Germany (1949-1990),https://www.wikidata.org/wiki/Q713750,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,German Democratic Republic (GDR)/East Germany (1949-1990),https://www.wikidata.org/wiki/Q16957,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Great Britain,,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Greece,,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Hungarian People's Republic (1949-1989),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Hungary (1920-1938),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Hungary (1939-1945),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Hungary (1989-),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Independent State of Croatia (1941-1945),https://www.wikidata.org/wiki/Q153128,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Israel (1948-),https://www.wikidata.org/wiki/Q801,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Kingdom of Poland (1917–1918) ,,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Kingdom of Romania (1884–1947),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Kingdom of Serbia (1882–1918),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,"Kingdom of Serbs, Croats, and Slovenes (1918-1929)",,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Kingdom of Yugoslavia (1929-1941),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Nazi Germany (1933-1945),https://www.wikidata.org/wiki/Q7318,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Ottoman Empire (1299–1922),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,"Palestine, Mandatory (1920-1948)",https://www.wikidata.org/wiki/Q193714,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Poland (1945-1947),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Poland (1989-),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,"Poland, Interwar (1918-1939)",,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,"Poland, Occupied (1939-1945)",,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Polish People's Republic (1947-1989),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Protectorate of Bohemia and Moravia (1939-1945),https://www.wikidata.org/wiki/Q152750,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Russian Federation (1991-),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Serbia (2006-),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Slovak State (1939-1945),https://www.wikidata.org/wiki/Q154401,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Socialist Republic of Romania (1947-1989),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Soviet Union (USSR),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,United Kingdom of Great Britain (UK),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,United States of America (USA),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,Yugoslavia (1945-1991),,,,,,,,,,,,,,,,,,,,,,,,,
state actor involved,"Yugoslavia, occupied (1941-1944)",,,,,,,,,,,,,,,,,,,,,,,,,
